Best case,,time/n,Average,,Worst case,,time/n^2,time/n,Average n^2,Random case,,time/n,Average
20,5058537,3.95371E-06,,,60,4618,2.81348E-06,0.012992638,,115,8946,0.012854907,
24,5704529,4.20718E-06,,,20,2622,2.90914E-06,0.007627765,,6,1961,0.003059663,
36,8562123,4.20456E-06,,,176,7858,2.85029E-06,0.022397557,,138,9714,0.0142063,
9,2548434,3.53158E-06,,,188,8116,2.85413E-06,0.02316412,,54,6001,0.0089985,
29,6773163,4.2816E-06,,,9,1820,2.71706E-06,0.004945055,,77,7234,0.01064418,
27,4985558,5.41564E-06,,,182,8054,2.80574E-06,0.022597467,,6,1926,0.003115265,
34,8067307,4.21454E-06,,,264,9674,2.82093E-06,0.027289642,,22,3863,0.005695056,
23,5278319,4.35745E-06,,,12,1992,3.02414E-06,0.006024096,,24,3977,0.0060347,
28,6588094,4.25009E-06,,,5,1287,3.01865E-06,0.003885004,,39,5187,0.007518797,
15,3855278,3.89077E-06,,,55,4371,2.87873E-06,0.012582933,,19,3755,0.00505992,
29,6914194,4.19427E-06,,,138,6949,2.85782E-06,0.019858973,,2,1050,0.001904762,
10,2256621,4.4314E-06,,,15,2313,2.80375E-06,0.006485084,,59,6434,0.009170034,
40,9769198,4.0945E-06,,,179,7943,2.83716E-06,0.022535566,,107,8429,0.01269427,
35,8351496,4.19087E-06,,,152,7315,2.84063E-06,0.020779221,,137,9722,0.014091751,
15,3827981,3.91851E-06,,,124,6568,2.87445E-06,0.018879415,,110,7900,0.013924051,
18,4255367,4.22995E-06,,,36,3460,3.00712E-06,0.010404624,,35,4984,0.007022472,
26,6170993,4.21326E-06,,,31,3230,2.97137E-06,0.009597523,,10,2764,0.003617945,
28,6810079,4.11155E-06,,,4,1262,2.51155E-06,0.003169572,,95,8068,0.011774913,
42,9915213,4.23592E-06,,,35,3458,2.92697E-06,0.010121457,,75,7091,0.010576787,
34,7234393,4.69977E-06,,,75,5110,2.87223E-06,0.014677104,,11,2621,0.004196871,
31,7297998,4.24774E-06,,,8,1763,2.57386E-06,0.00453772,,39,5158,0.00756107,
23,5562653,4.13472E-06,,,138,6932,2.87185E-06,0.019907675,,145,9927,0.014606628,
40,9688248,4.12871E-06,,,195,8226,2.88176E-06,0.023705325,,68,6695,0.010156833,
31,6733459,4.60387E-06,,,131,6711,2.90869E-06,0.019520191,,91,7971,0.011416384,
37,8969568,4.12506E-06,,,22,2829,2.74889E-06,0.0077766,,8,2306,0.003469211,
20,4904300,4.07805E-06,,,101,5949,2.85387E-06,0.016977643,,53,6162,0.008601104,
24,5694317,4.21473E-06,,,69,4901,2.87263E-06,0.014078759,,4,1568,0.00255102,
23,5502903,4.17961E-06,,,142,7103,2.81452E-06,0.019991553,,78,7194,0.010842369,
28,6698096,4.18029E-06,,,202,8360,2.89027E-06,0.024162679,,15,3226,0.004649721,
8,2198267,3.63923E-06,,,29,3169,2.88771E-06,0.009151152,,88,7795,0.011289288,
21,5234563,4.0118E-06,,,25,2868,3.03936E-06,0.008716876,,35,4844,0.007225434,
20,4916079,4.06828E-06,,,30,3231,2.87374E-06,0.009285051,,57,6323,0.009014708,
31,7524279,4.12E-06,,,136,6912,2.84663E-06,0.019675926,,76,7138,0.01064724,
13,3032486,4.28691E-06,,,37,3608,2.84229E-06,0.010254989,,13,2956,0.004397835,
41,9182838,4.46485E-06,,,27,3066,2.87223E-06,0.008806262,,27,4338,0.006224066,
15,3270295,4.58674E-06,,,91,5626,2.87503E-06,0.016174902,,36,4650,0.007741935,
15,3718150,4.03426E-06,,,39,3591,3.02436E-06,0.010860485,,117,8805,0.013287905,
27,5671843,4.76036E-06,,,260,9519,2.8694E-06,0.027313793,,7,2223,0.003148898,
24,5969740,4.02028E-06,,,267,9666,2.85771E-06,0.027622595,,81,7496,0.010805763,
31,7427716,4.17356E-06,,,52,4287,2.82941E-06,0.012129694,,119,9038,0.01316663,
6,1450907,4.13534E-06,,,176,7836,2.86631E-06,0.022460439,,17,3373,0.005040024,
34,7660471,4.43837E-06,,,215,8678,2.85495E-06,0.024775294,,55,6102,0.009013438,
39,9384257,4.1559E-06,,,86,5488,2.85542E-06,0.015670554,,13,2881,0.004512322,
31,7373628,4.20417E-06,,,70,4896,2.92022E-06,0.014297386,,73,7156,0.01020123,
36,8270078,4.35304E-06,,,57,4483,2.8362E-06,0.0127147,,12,2755,0.004355717,
21,5319952,3.9474E-06,,,14,2241,2.78769E-06,0.006247211,,30,4608,0.006510417,
42,9963545,4.21537E-06,,,211,8587,2.86154E-06,0.024572027,,26,4224,0.006155303,
39,9176731,4.24988E-06,,,272,9801,2.83158E-06,0.02775227,,9,2297,0.003918154,
38,6969352,5.45244E-06,,,60,4525,2.93031E-06,0.013259669,,2,1261,0.001586043,
21,5062153,4.14843E-06,,,60,4533,2.91998E-06,0.013236267,,45,5535,0.008130081,
10,2390810,4.18268E-06,,,19,2569,2.87889E-06,0.007395874,,4,1808,0.002212389,
15,3524587,4.25582E-06,,,75,5087,2.89826E-06,0.014743464,,27,4221,0.006396588,
9,2234487,4.02777E-06,,,38,3566,2.98828E-06,0.010656197,,67,6772,0.00989368,
24,5889531,4.07503E-06,,,142,7062,2.8473E-06,0.020107618,,47,5714,0.008225411,
27,6501903,4.15263E-06,,,159,7440,2.87244E-06,0.021370968,,121,9021,0.013413147,
6,1477063,4.06212E-06,,,48,4121,2.82642E-06,0.011647658,,4,1594,0.00250941,
17,4267924,3.9832E-06,,,47,4037,2.8839E-06,0.011642309,,118,9005,0.013103831,
26,6191100,4.19958E-06,,,210,8598,2.84069E-06,0.024424285,,5,1930,0.002590674,
39,9213144,4.23308E-06,,,44,3963,2.80159E-06,0.0111027,,22,3990,0.005513784,
26,6331616,4.10638E-06,,,156,7357,2.88219E-06,0.021204295,,32,4668,0.006855184,
14,3447331,4.06111E-06,,,26,2869,3.15873E-06,0.009062391,,63,6562,0.009600731,
