Best case,,time/n,Average,,Worst case,,time/n^2,time/n,Average n^2,Random case,,time/n,Average
34,7967555,4.26731E-06,,,234,8895,2.95749E-06,0.026306914,,29,4007,0.007237335,
35,8216012,4.25997E-06,,,48,3763,3.38979E-06,0.01275578,,104,8162,0.012741975,
41,9518541,4.30738E-06,,,204,8389,2.89874E-06,0.024317559,,138,9167,0.015053998,
33,7972770,4.13909E-06,,,90,5421,3.06255E-06,0.016602103,,107,8229,0.013002795,
31,6006620,5.16097E-06,,,81,5204,2.99096E-06,0.01556495,,45,5364,0.008389262,
30,7002704,4.28406E-06,,,173,7720,2.90276E-06,0.022409326,,48,5468,0.008778347,
22,5204453,4.22715E-06,,,34,3265,3.18943E-06,0.010413476,,91,7547,0.012057771,
28,6687195,4.18711E-06,,,76,5179,2.83349E-06,0.014674648,,26,4091,0.006355414,
11,2556889,4.3021E-06,,,163,7359,3.00989E-06,0.022149749,,52,6007,0.008656567,
8,1777312,4.50118E-06,,,2,1009,1.96448E-06,0.001982161,,12,2846,0.004216444,
25,6049526,4.13256E-06,,,288,9977,2.89329E-06,0.028866393,,142,9586,0.014813269,
8,1933631,4.13729E-06,,,19,2405,3.28491E-06,0.007900208,,74,7143,0.010359793,
23,5391856,4.26569E-06,,,24,2914,2.82639E-06,0.008236102,,13,2936,0.004427793,
37,8481011,4.36269E-06,,,50,4191,2.84665E-06,0.011930327,,22,3875,0.005677419,
36,8662221,4.15598E-06,,,195,8316,2.81972E-06,0.023448773,,37,4521,0.00818403,
32,7247309,4.41543E-06,,,8,1654,2.92428E-06,0.004836759,,22,3790,0.005804749,
28,6748014,4.14937E-06,,,3,1142,2.30032E-06,0.00262697,,108,8002,0.013496626,
7,1555534,4.50006E-06,,,146,7157,2.8503E-06,0.020399609,,43,5470,0.00786106,
30,7258501,4.13308E-06,,,121,6554,2.81691E-06,0.018462008,,59,5884,0.010027192,
10,2112114,4.73459E-06,,,136,6832,2.91369E-06,0.019906323,,51,5511,0.009254219,
16,3723197,4.29738E-06,,,117,6390,2.86539E-06,0.018309859,,157,9955,0.015770969,
12,2727803,4.39914E-06,,,195,8247,2.8671E-06,0.023644962,,57,6101,0.009342731,
23,5340228,4.30693E-06,,,131,6771,2.85736E-06,0.019347216,,150,9562,0.015687095,
9,2085546,4.31542E-06,,,12,2007,2.97911E-06,0.005979073,,14,3019,0.004637297,
30,6971622,4.30316E-06,,,56,4366,2.93779E-06,0.012826386,,126,8779,0.014352432,
15,3460628,4.33447E-06,,,271,9707,2.87607E-06,0.027917997,,105,8211,0.012787724,
27,6551740,4.12104E-06,,,73,5032,2.88298E-06,0.014507154,,3,1150,0.002608696,
27,6747264,4.00162E-06,,,5,1274,3.08057E-06,0.003924647,,68,6482,0.010490589,
26,6277170,4.14199E-06,,,116,6377,2.8525E-06,0.018190372,,28,3502,0.007995431,
24,5962893,4.02489E-06,,,14,2234,2.80519E-06,0.006266786,,46,5338,0.00861746,
13,3468522,3.74799E-06,,,17,2410,2.92695E-06,0.007053942,,88,7167,0.012278499,
32,7712719,4.14899E-06,,,43,3840,2.91612E-06,0.011197917,,51,5655,0.009018568,
31,7564055,4.09833E-06,,,111,6267,2.8262E-06,0.017711824,,93,7848,0.011850153,
20,4794105,4.17179E-06,,,101,5853,2.94825E-06,0.017256108,,5,1698,0.002944641,
23,5440097,4.22787E-06,,,113,6255,2.88818E-06,0.018065548,,45,5203,0.008648856,
38,9110576,4.17098E-06,,,82,5368,2.8457E-06,0.015275708,,14,2857,0.004900245,
15,3912761,3.83361E-06,,,27,3101,2.80776E-06,0.008706869,,103,8026,0.012833292,
28,6521151,4.29372E-06,,,39,3694,2.85806E-06,0.010557661,,49,5660,0.008657244,
39,9508628,4.10154E-06,,,19,2501,3.03757E-06,0.007596961,,67,6703,0.009995524,
16,3861115,4.14388E-06,,,280,9622,3.02432E-06,0.029099979,,91,7644,0.011904762,
9,2189189,4.11111E-06,,,35,3423,2.98713E-06,0.010224949,,42,5423,0.007744791,
11,1589119,6.92207E-06,,,250,9332,2.87072E-06,0.026789541,,13,2854,0.004555011,
34,7855433,4.32821E-06,,,80,5289,2.85985E-06,0.015125733,,10,2723,0.00367242,
28,6812530,4.11007E-06,,,33,2890,3.9511E-06,0.011418685,,62,6158,0.010068204,
29,6966251,4.16293E-06,,,53,4265,2.91365E-06,0.012426729,,153,9837,0.015553522,
26,6553462,3.96737E-06,,,199,8229,2.93873E-06,0.024182768,,11,2657,0.004140008,
9,2189489,4.11055E-06,,,214,8603,2.89144E-06,0.024875044,,63,6068,0.010382334,
14,3293011,4.25143E-06,,,151,7239,2.88151E-06,0.020859235,,154,9631,0.015990032,
6,1519672,3.94822E-06,,,27,2962,3.07747E-06,0.009115463,,79,6523,0.012110992,
17,4087329,4.1592E-06,,,207,8476,2.8813E-06,0.024421897,,2,1151,0.001737619,
42,9985188,4.20623E-06,,,16,2198,3.3118E-06,0.007279345,,16,2881,0.005553627,
41,9918743,4.13359E-06,,,96,5612,3.04815E-06,0.017106201,,12,2075,0.005783133,
13,2813568,4.62047E-06,,,4,1201,2.77315E-06,0.003330558,,4,1598,0.002503129,
8,1725782,4.63558E-06,,,204,8462,2.84895E-06,0.024107776,,15,2712,0.005530973,
8,1501011,5.32974E-06,,,268,9576,2.92258E-06,0.027986633,,5,1864,0.002682403,
19,4561389,4.1654E-06,,,292,9996,2.92234E-06,0.029211685,,84,7185,0.011691023,
23,5556389,4.13938E-06,,,22,2687,3.0471E-06,0.00818757,,129,9067,0.014227418,
22,5137692,4.28208E-06,,,54,4329,2.8815E-06,0.012474012,,5,1725,0.002898551,
22,5066475,4.34227E-06,,,154,7344,2.85532E-06,0.020969499,,27,4216,0.006404175,
5,1223416,4.08692E-06,,,80,5323,2.82343E-06,0.015029119,,52,5441,0.009557067,
22,5604106,3.92569E-06,,,15,2265,2.92385E-06,0.006622517,,112,8238,0.013595533,
24,5826463,4.11914E-06,,,25,3074,2.64565E-06,0.008132726,,22,3864,0.005693582,
5,1211569,4.12688E-06,,,139,6967,2.86367E-06,0.019951199,,155,9252,0.016753134,
31,7195525,4.30823E-06,,,166,7592,2.88002E-06,0.021865121,,27,3941,0.006851053,
39,9215093,4.23219E-06,,,5,1315,2.89147E-06,0.003802281,,66,6498,0.010156971,
47,9552357,4.92025E-06,,,181,7914,2.88992E-06,0.022870862,,113,8291,0.013629237,
29,6831124,4.24528E-06,,,249,9428,2.8013E-06,0.026410692,,5,1377,0.003631082,
10,2277730,4.39034E-06,,,216,8706,2.84981E-06,0.024810476,,43,5182,0.008297954,
37,8919884,4.14804E-06,,,133,6785,2.88903E-06,0.019602063,,146,9005,0.016213215,
18,4441997,4.05223E-06,,,13,2140,2.83868E-06,0.006074766,,26,4012,0.006480558,
16,3725924,4.29424E-06,,,106,6110,2.83938E-06,0.017348609,,9,2434,0.003697617,
5,1034094,4.83515E-06,,,99,5863,2.88002E-06,0.016885553,,15,3061,0.004900359,
26,6059087,4.29108E-06,,,52,4267,2.856E-06,0.012186548,,11,2721,0.004042631,
42,9704799,4.32776E-06,,,46,3993,2.88509E-06,0.01152016,,4,1380,0.002898551,
31,7543063,4.10974E-06,,,24,2814,3.03084E-06,0.008528785,,114,8239,0.013836631,
24,5020826,4.78009E-06,,,283,9962,2.85163E-06,0.02840795,,63,6645,0.009480813,
23,5363977,4.28786E-06,,,27,3114,2.78437E-06,0.00867052,,25,3856,0.006483402,
13,3111337,4.17827E-06,,,4,1226,2.66121E-06,0.003262643,,134,6609,0.020275382,
10,2349934,4.25544E-06,,,165,7596,2.85966E-06,0.021721959,,110,8594,0.012799628,
23,5678463,4.05039E-06,,,17,2333,3.12334E-06,0.007286755,,12,2697,0.004449388,
10,2306866,4.33489E-06,,,8,1706,2.74873E-06,0.004689332,,13,3028,0.004293263,
8,1905364,4.19867E-06,,,177,7944,2.80475E-06,0.022280967,,2,1024,0.001953125,
19,4819454,3.94236E-06,,,11,1866,3.15914E-06,0.005894962,,51,5561,0.009171012,
33,8111061,4.06852E-06,,,5,1347,2.75572E-06,0.003711952,,11,2521,0.004363348,
23,5332106,4.31349E-06,,,63,4637,2.92999E-06,0.01358637,,18,1982,0.009081736,
19,4618948,4.11349E-06,,,140,6982,2.87189E-06,0.020051561,,29,4081,0.007106101,
6,1278465,4.69313E-06,,,227,8974,2.81873E-06,0.025295298,,2,1197,0.001670844,
17,4288802,3.96381E-06,,,174,7836,2.83374E-06,0.022205207,,54,5802,0.009307135,
6,1493638,4.01704E-06,,,95,5760,2.86338E-06,0.016493056,,91,7891,0.011532125,
23,5339374,4.30762E-06,,,20,2560,3.05176E-06,0.0078125,,82,7292,0.0112452,
36,8676997,4.1489E-06,,,197,8306,2.8555E-06,0.023717794,,16,3117,0.005133141,
16,3305157,4.84092E-06,,,143,7034,2.89022E-06,0.020329827,,99,7861,0.012593818,
31,7471302,4.14921E-06,,,67,4757,2.9608E-06,0.014084507,,113,7877,0.014345563,
18,4336756,4.15057E-06,,,5,1199,3.47802E-06,0.004170142,,44,4535,0.009702315,
16,3872925,4.13124E-06,,,10,1832,2.97954E-06,0.005458515,,27,2890,0.009342561,
21,5195702,4.0418E-06,,,9,1775,2.85658E-06,0.005070423,,93,6723,0.01383311,
14,3415610,4.09883E-06,,,12,2119,2.67251E-06,0.005663049,,25,3753,0.006661338,
11,2602943,4.22599E-06,,,25,2918,2.93609E-06,0.008567512,,176,8818,0.019959174,
22,5494780,4.0038E-06,,,178,7847,2.89076E-06,0.022683828,,22,3402,0.006466784,
10,2482940,4.02748E-06,,,11,1944,2.91072E-06,0.005658436,,120,7466,0.016072864,
7,1579551,4.43164E-06,,,52,4219,2.92135E-06,0.012325196,,19,2812,0.006756757,
22,4775128,4.60721E-06,,,19,2553,2.91509E-06,0.007442225,,4,1114,0.003590664,
5,1044806,4.78558E-06,,,98,5622,3.10059E-06,0.017431519,,130,8611,0.015096969,
34,8049933,4.22364E-06,,,170,7779,2.80932E-06,0.021853709,,13,2575,0.005048544,
38,9235962,4.11435E-06,,,122,6458,2.92526E-06,0.018891298,,115,8249,0.013941084,
9,2121677,4.24193E-06,,,61,4618,2.86037E-06,0.013209181,,6,1674,0.003584229,
7,1835121,3.81446E-06,,,19,2615,2.7785E-06,0.007265774,,130,8646,0.015035855,
38,9165285,4.14608E-06,,,19,2492,3.05955E-06,0.007624398,,30,4412,0.006799637,
25,5950326,4.20145E-06,,,85,5297,3.02942E-06,0.016046819,,10,2506,0.003990423,
32,7753068,4.1274E-06,,,267,9508,2.95347E-06,0.028081615,,72,6140,0.011726384,
12,2811654,4.26795E-06,,,12,1849,3.51E-06,0.006489995,,29,3919,0.007399847,
18,4483001,4.01517E-06,,,9,1798,2.78396E-06,0.005005562,,41,5042,0.008131694,
37,8881410,4.16601E-06,,,56,4362,2.94318E-06,0.012838148,,172,9797,0.017556395,
8,1987393,4.02537E-06,,,72,5022,2.85482E-06,0.014336918,,83,6983,0.011886009,
14,3313773,4.22479E-06,,,143,7099,2.83754E-06,0.020143682,,89,5947,0.014965529,
11,2622951,4.19375E-06,,,115,6367,2.8368E-06,0.018061882,,25,3144,0.007951654,
35,8415899,4.1588E-06,,,66,4700,2.98778E-06,0.014042553,,123,7947,0.015477539,
32,7847763,4.0776E-06,,,104,6092,2.80229E-06,0.017071569,,26,3284,0.007917174,
22,5341873,4.11841E-06,,,37,3541,2.95087E-06,0.010449026,,58,5314,0.010914565,
6,1501174,3.99687E-06,,,101,5937,2.86541E-06,0.017011959,,131,8374,0.015643659,
5,1108263,4.51156E-06,,,95,5711,2.91272E-06,0.016634565,,56,5967,0.009384951,
25,5998034,4.16803E-06,,,5,1331,2.82237E-06,0.003756574,,7,2229,0.003140422,
9,1960916,4.58969E-06,,,261,9641,2.808E-06,0.027071881,,6,1936,0.003099174,
20,4923958,4.06177E-06,,,272,9784,2.84142E-06,0.027800491,,173,9670,0.017890383,
28,6593370,4.24669E-06,,,4,1225,2.66556E-06,0.003265306,,3,1099,0.002729754,
16,4033643,3.96664E-06,,,162,7548,2.84349E-06,0.021462639,,23,3673,0.006261911,
16,4054760,3.94598E-06,,,12,2076,2.78437E-06,0.005780347,,4,1620,0.002469136,
16,4085619,3.91618E-06,,,38,3537,3.03748E-06,0.010743568,,29,4169,0.006956105,
37,8866881,4.17283E-06,,,93,5699,2.86342E-06,0.016318652,,102,8242,0.012375637,
9,1935919,4.64895E-06,,,125,6592,2.87657E-06,0.018962379,,69,5310,0.01299435,
13,2764345,4.70274E-06,,,21,2719,2.84054E-06,0.007723428,,20,2882,0.006939625,
27,6517146,4.14292E-06,,,224,8855,2.85674E-06,0.025296443,,185,9363,0.019758624,
14,3087282,4.53473E-06,,,258,9515,2.84972E-06,0.027115081,,18,3321,0.005420054,
16,3671118,4.35835E-06,,,205,8040,3.17133E-06,0.025497512,,37,4816,0.007682724,
16,3592183,4.45412E-06,,,41,3790,2.85434E-06,0.010817942,,56,5813,0.00963358,
15,3721305,4.03084E-06,,,114,6317,2.85682E-06,0.018046541,,91,7693,0.011828935,
41,9843431,4.16521E-06,,,144,6949,2.98207E-06,0.020722406,,19,3159,0.006014562,
14,3369497,4.15492E-06,,,279,9988,2.79671E-06,0.02793352,,17,3441,0.004940424,
22,5336247,4.12275E-06,,,159,7531,2.80344E-06,0.021112734,,41,5391,0.007605268,
23,5199594,4.42342E-06,,,13,1998,3.25651E-06,0.006506507,,67,6544,0.010238386,
12,2652758,4.52359E-06,,,7,1438,3.38517E-06,0.004867872,,3,1547,0.001939237,
17,4255132,3.99518E-06,,,280,9925,2.84248E-06,0.028211587,,7,2165,0.003233256,
20,4728319,4.22983E-06,,,12,1973,3.08267E-06,0.006082108,,3,1087,0.00275989,
16,3827345,4.18044E-06,,,38,3583,2.95999E-06,0.010605638,,68,6643,0.010236339,
7,1307875,5.35219E-06,,,155,7391,2.83743E-06,0.020971452,,19,3509,0.005414648,
27,6513747,4.14508E-06,,,181,8008,2.82248E-06,0.022602398,,98,6440,0.015217391,
11,2894979,3.79968E-06,,,20,2615,2.92474E-06,0.007648184,,165,9477,0.017410573,
7,1565545,4.47129E-06,,,37,3536,2.95922E-06,0.010463801,,2,1044,0.001915709,
27,6573046,4.10768E-06,,,69,4962,2.80244E-06,0.013905683,,112,7850,0.014267516,
15,3583706,4.18561E-06,,,6,1283,3.645E-06,0.004676539,,7,2040,0.003431373,
18,4533832,3.97015E-06,,,13,2131,2.8627E-06,0.006100422,,114,8139,0.014006635,
30,7311417,4.10317E-06,,,25,2822,3.13925E-06,0.008858965,,32,3605,0.00887656,
28,6647067,4.21238E-06,,,68,4867,2.87069E-06,0.013971646,,55,5334,0.010311211,
16,3934400,4.06669E-06,,,5,1349,2.74755E-06,0.003706449,,162,8940,0.018120805,
37,9003268,4.10962E-06,,,7,1543,2.94013E-06,0.004536617,,171,9843,0.017372752,
13,3284487,3.958E-06,,,224,8897,2.82983E-06,0.025177026,,3,1512,0.001984127,
8,1755394,4.55738E-06,,,161,7537,2.83419E-06,0.021361284,,9,2537,0.003547497,
5,1256622,3.97892E-06,,,22,2714,2.98678E-06,0.008106116,,35,4816,0.007267442,
15,3360922,4.46306E-06,,,66,4656,3.04451E-06,0.014175258,,120,8318,0.014426545,
8,1720922,4.64867E-06,,,50,4182,2.85892E-06,0.011956002,,5,1822,0.002744237,
17,4211863,4.03622E-06,,,215,8645,2.87679E-06,0.024869867,,110,8175,0.013455657,
5,1131124,4.42038E-06,,,165,7642,2.82533E-06,0.021591206,,20,3185,0.006279435,
36,7754206,4.64264E-06,,,68,4910,2.82063E-06,0.013849287,,47,5203,0.00903325,
12,2806054,4.27647E-06,,,144,7084,2.86949E-06,0.020327499,,109,7952,0.013707243,
32,7299152,4.38407E-06,,,112,6337,2.78901E-06,0.017673978,,166,9898,0.016771065,
7,1664397,4.20573E-06,,,262,9575,2.85775E-06,0.027362924,,42,4929,0.008520998,
23,5465644,4.2081E-06,,,55,4267,3.02077E-06,0.012889618,,29,4215,0.00688019,
27,6713552,4.02172E-06,,,98,5646,3.07429E-06,0.017357421,,87,6843,0.012713722,
18,4357194,4.1311E-06,,,80,5270,2.88051E-06,0.015180266,,110,8432,0.013045541,
11,2284827,4.81437E-06,,,153,7337,2.8422E-06,0.02085321,,8,2234,0.003581021,
19,4346485,4.37135E-06,,,47,4135,2.74882E-06,0.011366385,,2,1305,0.001532567,
13,3339412,3.8929E-06,,,34,3315,3.09394E-06,0.01025641,,14,2940,0.004761905,
39,9540005,4.08805E-06,,,320,9918,3.25313E-06,0.032264569,,13,2939,0.004423273,
17,3877712,4.38403E-06,,,240,9177,2.84977E-06,0.026152337,,64,6053,0.010573269,
11,2333893,4.71316E-06,,,68,4866,2.87187E-06,0.013974517,,12,2749,0.004365224,
31,7819891,3.96425E-06,,,25,2935,2.90218E-06,0.008517888,,13,2649,0.004907512,
32,7803947,4.10049E-06,,,210,8478,2.92168E-06,0.024769993,,74,6945,0.010655148,
24,5704250,4.20739E-06,,,33,3384,2.88173E-06,0.009751773,,7,2116,0.003308129,
18,4240249,4.24503E-06,,,278,9836,2.87348E-06,0.028263522,,94,7818,0.012023535,
34,8204764,4.14393E-06,,,181,8000,2.82813E-06,0.022625,,7,2238,0.003127793,
24,5824250,4.1207E-06,,,73,5097,2.80992E-06,0.01432215,,107,8488,0.012606032,
9,2097446,4.29093E-06,,,62,2644,8.86888E-06,0.023449319,,129,8947,0.014418241,
7,2027477,3.45257E-06,,,88,5673,2.73437E-06,0.015512075,,18,3482,0.005169443,
33,7720746,4.2742E-06,,,58,4409,2.98365E-06,0.01315491,,44,4853,0.009066557,
15,3701609,4.05229E-06,,,3,1071,2.61543E-06,0.00280112,,148,8916,0.016599372,
30,6756985,4.43985E-06,,,210,8513,2.8977E-06,0.024668155,,61,6023,0.010127843,
14,3334978,4.19793E-06,,,172,7767,2.85116E-06,0.022144972,,39,5146,0.007578702,
33,7904649,4.17476E-06,,,57,4453,2.87455E-06,0.012800359,,4,1820,0.002197802,
6,1517027,3.9551E-06,,,50,4141,2.91581E-06,0.012074378,,83,7499,0.011068142,
20,4575479,4.37113E-06,,,206,8399,2.9202E-06,0.024526729,,7,1611,0.004345127,
33,8116674,4.0657E-06,,,135,6785,2.93247E-06,0.019896831,,19,3215,0.005909798,
23,5511828,4.17284E-06,,,20,2513,3.16698E-06,0.007958615,,116,8435,0.013752223,
26,6020554,4.31854E-06,,,12,1987,3.03938E-06,0.006039255,,165,9902,0.0166633,
34,8320096,4.08649E-06,,,5,1229,3.31029E-06,0.004068348,,53,5206,0.010180561,
8,1860821,4.29918E-06,,,212,8584,2.87711E-06,0.024697111,,126,8378,0.015039389,
7,1512682,4.62754E-06,,,230,9025,2.8238E-06,0.025484765,,164,9408,0.017431973,
20,4998394,4.00129E-06,,,8,1563,3.2747E-06,0.005118362,,46,5132,0.008963367,
39,9166413,4.25466E-06,,,206,8513,2.84251E-06,0.024198285,,12,2533,0.004737465,
29,7015680,4.1336E-06,,,36,3523,2.90053E-06,0.010218564,,81,6850,0.011824818,
20,4678468,4.2749E-06,,,162,7560,2.83447E-06,0.021428571,,147,9852,0.014920828,
13,3152890,4.1232E-06,,,179,7965,2.82151E-06,0.022473321,,10,2507,0.003988831,
21,5035479,4.17041E-06,,,11,1891,3.07617E-06,0.005817028,,122,8920,0.01367713,
12,2924767,4.10289E-06,,,227,8938,2.84148E-06,0.025397181,,22,3875,0.005677419,
5,1227399,4.07365E-06,,,122,6532,2.85935E-06,0.018677281,,46,5028,0.009148767,
19,4651166,4.085E-06,,,73,5094,2.81323E-06,0.014330585,,86,7662,0.011224223,
8,1920364,4.16588E-06,,,201,8387,2.85748E-06,0.023965661,,61,6256,0.009750639,
28,6787362,4.12531E-06,,,50,4205,2.82773E-06,0.011890606,,59,5975,0.009874477,
37,8752998,4.22712E-06,,,231,8863,2.9407E-06,0.02606341,,5,1852,0.002699784,
16,3850769,4.15501E-06,,,19,2533,2.96131E-06,0.007500987,,2,1190,0.001680672,
38,8905136,4.2672E-06,,,205,8427,2.88674E-06,0.024326569,,5,1592,0.003140704,
16,3903073,4.09933E-06,,,166,7643,2.84171E-06,0.02171922,,101,8144,0.012401768,
31,7188854,4.31223E-06,,,78,5178,2.90918E-06,0.015063731,,110,8168,0.013467189,
17,4094424,4.15199E-06,,,8,1661,2.89968E-06,0.004816376,,98,8027,0.012208795,
10,2377000,4.20698E-06,,,56,4485,2.78396E-06,0.012486065,,2,1034,0.001934236,
7,1733710,4.03758E-06,,,241,9221,2.8344E-06,0.026135994,,77,7232,0.010647124,
8,1877479,4.26103E-06,,,260,9528,2.86398E-06,0.027287993,,91,7803,0.011662181,
23,4881067,4.71208E-06,,,15,2241,2.98681E-06,0.00669344,,9,2376,0.003787879,
25,6011500,4.1587E-06,,,8,1569,3.24971E-06,0.005098789,,101,7997,0.012629736,
39,9121350,4.27568E-06,,,141,6941,2.92668E-06,0.020314076,,110,8672,0.012684502,
20,4905623,4.07695E-06,,,153,7344,2.83678E-06,0.020833333,,3,1297,0.00231303,
22,5166594,4.25812E-06,,,254,9424,2.85998E-06,0.026952462,,8,1989,0.004022122,
6,1470955,4.07898E-06,,,185,8098,2.82109E-06,0.022845147,,77,7327,0.010509076,
39,9338408,4.1763E-06,,,205,8539,2.81151E-06,0.024007495,,68,6329,0.010744193,
16,3744410,4.27304E-06,,,55,4422,2.81271E-06,0.012437811,,3,1239,0.002421308,
20,5025336,3.97983E-06,,,56,4329,2.98822E-06,0.012936013,,51,5790,0.00880829,
27,6397988,4.22008E-06,,,130,6704,2.89251E-06,0.019391408,,74,7090,0.010437236,
18,4513707,3.98785E-06,,,28,3095,2.92305E-06,0.00904685,,33,4718,0.006994489,
17,3889894,4.3703E-06,,,280,9933,2.8379E-06,0.028188865,,2,1193,0.001676446,
5,1412001,3.54107E-06,,,238,9189,2.81865E-06,0.025900533,,16,3399,0.004707267,
39,9208794,4.23508E-06,,,83,5345,2.90524E-06,0.015528531,,63,6471,0.009735744,
18,4377910,4.11155E-06,,,27,3020,2.9604E-06,0.008940397,,6,2058,0.002915452,
10,2638089,3.79062E-06,,,145,7122,2.85867E-06,0.02035945,,93,7952,0.011695171,
14,3303944,4.23736E-06,,,193,8280,2.81512E-06,0.023309179,,112,8710,0.012858783,
38,9394918,4.04474E-06,,,39,3657,2.91618E-06,0.010664479,,35,4989,0.007015434,
35,8202383,4.26705E-06,,,222,8838,2.84214E-06,0.025118805,,38,4981,0.00762899,
14,3348265,4.18127E-06,,,110,6169,2.89043E-06,0.017831091,,116,8805,0.013174333,
10,2074818,4.8197E-06,,,283,9774,2.96239E-06,0.028954369,,46,5445,0.008448118,
36,8527680,4.22155E-06,,,98,5913,2.80292E-06,0.016573651,,133,9427,0.014108412,
51,9267461,5.50313E-06,,,30,3179,2.96852E-06,0.00943693,,67,6483,0.010334722,
20,4549278,4.3963E-06,,,224,8846,2.86256E-06,0.02532218,,91,7595,0.011981567,
17,2553301,6.65805E-06,,,138,6946,2.86029E-06,0.01986755,,15,2962,0.005064146,
30,5925958,5.06247E-06,,,232,9051,2.83201E-06,0.025632527,,27,4009,0.006734847,
37,7189237,5.14658E-06,,,213,8400,3.01871E-06,0.025357143,,59,6134,0.00961852,
29,7025930,4.12757E-06,,,193,8008,3.0096E-06,0.024100899,,136,9257,0.014691585,
40,9854295,4.05914E-06,,,243,9128,2.91645E-06,0.026621385,,49,5440,0.009007353,
42,9995902,4.20172E-06,,,14,2229,2.81779E-06,0.006280843,,73,6768,0.010786052,
34,7958428,4.2722E-06,,,117,6252,2.99328E-06,0.018714012,,51,5593,0.009118541,
28,6585823,4.25156E-06,,,127,6697,2.83167E-06,0.018963715,,36,4898,0.007349939,
24,5735079,4.18477E-06,,,146,7187,2.82656E-06,0.020314457,,104,8238,0.012624423,
28,6580271,4.25514E-06,,,4,1043,3.67698E-06,0.003835091,,57,5971,0.00954614,
27,6600532,4.09058E-06,,,237,9161,2.82399E-06,0.025870538,,19,3413,0.00556695,
19,4551905,4.17408E-06,,,19,2577,2.86105E-06,0.007372914,,78,7004,0.011136493,
17,3925195,4.331E-06,,,15,2291,2.85786E-06,0.006547359,,42,5200,0.008076923,
36,8265407,4.3555E-06,,,71,5053,2.78074E-06,0.014051059,,91,7584,0.011998945,
41,9953382,4.1192E-06,,,214,8715,2.8176E-06,0.024555364,,97,7888,0.01229716,
9,2151891,4.18237E-06,,,132,6720,2.92304E-06,0.019642857,,24,3612,0.006644518,
15,3606331,4.15935E-06,,,151,7220,2.89669E-06,0.020914127,,31,4106,0.007549927,
24,5485485,4.37518E-06,,,125,6576,2.89059E-06,0.019008516,,10,2513,0.003979308,
25,6176411,4.04766E-06,,,77,5134,2.92132E-06,0.014998052,,84,6862,0.012241329,
42,9882942,4.24975E-06,,,4,1298,2.37416E-06,0.003081664,,6,2002,0.002997003,
38,8977331,4.23288E-06,,,255,9486,2.83383E-06,0.02688172,,39,4960,0.007862903,
14,3436515,4.07389E-06,,,215,8709,2.83467E-06,0.024687105,,32,4518,0.00708278,
35,8255312,4.23969E-06,,,91,5637,2.86382E-06,0.016143339,,154,9852,0.015631344,
6,1618487,3.70717E-06,,,209,8564,2.84966E-06,0.024404484,,56,5735,0.009764603,
37,8629422,4.28766E-06,,,49,4104,2.90925E-06,0.011939571,,54,5889,0.009169638,
35,8266679,4.23386E-06,,,158,7462,2.83757E-06,0.021173948,,16,3163,0.005058489,
37,8946462,4.13571E-06,,,24,2831,2.99455E-06,0.00847757,,27,4088,0.006604697,
29,6693800,4.33237E-06,,,261,9609,2.82673E-06,0.027162036,,112,7501,0.014931342,
38,9278109,4.09566E-06,,,280,9928,2.84076E-06,0.028203062,,67,6729,0.009956903,
41,9744950,4.20731E-06,,,19,2431,3.21502E-06,0.007815714,,90,7810,0.011523688,
40,9317401,4.29304E-06,,,18,2476,2.9361E-06,0.00726979,,13,2732,0.004758419,
39,9457886,4.12354E-06,,,176,7798,2.89432E-06,0.02256989,,23,3962,0.005805149,
14,3250668,4.30681E-06,,,190,8080,2.91025E-06,0.023514851,,14,2806,0.004989309,
11,2626506,4.18807E-06,,,176,7920,2.80584E-06,0.022222222,,32,4449,0.007192628,
31,7282792,4.25661E-06,,,4,1219,2.69186E-06,0.003281378,,151,9970,0.015145436,
16,3811515,4.19781E-06,,,201,8434,2.82572E-06,0.023832108,,109,8206,0.013282964,
45,9011996,4.99334E-06,,,14,2169,2.97584E-06,0.006454587,,19,3436,0.005529686,
13,3231359,4.02308E-06,,,20,2545,3.08784E-06,0.007858546,,5,1817,0.002751789,
40,9309744,4.29657E-06,,,50,4212,2.81834E-06,0.011870845,,13,2714,0.004789978,
38,9064657,4.19211E-06,,,247,9154,2.94764E-06,0.02698274,,9,2326,0.003869304,
24,5926601,4.04954E-06,,,127,6672,2.85293E-06,0.019034772,,92,7752,0.011867905,
18,4331647,4.15546E-06,,,84,5389,2.89243E-06,0.015587307,,17,3253,0.005225945,
7,1772001,3.95034E-06,,,223,8811,2.87246E-06,0.025309273,,14,2984,0.004691689,
5,1041341,4.8015E-06,,,68,4831,2.91363E-06,0.014075761,,27,4242,0.006364922,
10,2400802,4.16527E-06,,,232,9023,2.84961E-06,0.025712069,,16,3252,0.004920049,
23,5303475,4.33678E-06,,,6,1451,2.84981E-06,0.004135079,,117,8409,0.013913664,
38,9269441,4.09949E-06,,,25,2946,2.88054E-06,0.008486083,,146,9739,0.014991272,
39,8735930,4.46432E-06,,,5,1227,3.32109E-06,0.00407498,,3,1375,0.002181818,
7,1526754,4.58489E-06,,,41,3776,2.87554E-06,0.010858051,,75,7022,0.010680718,
32,7640713,4.18809E-06,,,63,4746,2.79695E-06,0.013274336,,97,7905,0.012270715,
